,NO2
1232,14.0
1233,13.0
1234,14.0
1235,14.0
1236,11.0
1237,10.0
1238,14.0
1239,16.0
1240,12.0
1241,13.0
1242,12.0
1243,15.0
1244,16.0
1245,13.0
1246,13.0
1247,16.0
1248,13.0
1249,15.0
1250,16.0
1251,12.0
1252,13.0
1504,17.0
1443,13.0
1444,15.0
1445,15.0
1446,12.0
1479,17.0
1488,18.0
1451,13.0
1452,14.0
1453,12.0
1454,12.0
1447,16.0
1455,15.0
1512,16.0
1520,12.0
1459,15.0
1460,15.0
1461,12.0
1462,13.0
1463,16.0
1480,19.0
1496,15.0
1466,13.0
1467,14.0
1468,16.0
1469,13.0
1470,17.0
1448,15.0
1456,16.0
1471,17.0
1513,18.0
1474,17.0
1475,18.0
1476,13.0
1477,14.0
1478,18.0
1442,14.0
1497,17.0
1505,16.0
1483,16.5
1484,17.0
1485,21.0
1486,16.0
1487,21.0
1464,15.0
1472,15.0
1489,19.0
1491,16.0
1492,15.0
1493,16.0
1494,19.0
1495,16.0
1506,15.0
1521,12.0
1499,15.0
1500,16.0
1501,18.0
1502,14.0
1503,17.0
1465,16.0
1481,22.0
1490,18.0
1449,13.0
1457,15.0
1514,24.0
1522,20.5
1507,17.0
1508,18.0
1509,13.0
1510,17.0
1511,15.0
1482,16.0
1498,17.0
1516,14.0
1517,16.0
1518,16.0
1519,14.0
1450,16.0
1458,13.0
1473,13.0
1515,17.0
1523,14.0
1524,15.0
1525,16.0
1526,17.0
1527,13.0
202,25.73333333
203,26.66666667
204,23.93333333
205,20.41666667
206,20.43333333
207,20.43333333
208,21.55
209,24.61666667
210,19.1
211,20.85
212,12.95
213,13.98333333
214,13.91666667
215,27.0
216,18.06666667
217,24.48333333
218,18.53333333
219,24.46666667
220,17.8
221,30.55
222,24.51666667
223,16.98333333
224,13.41666667
225,24.36666667
226,21.16666667
227,18.03333333
228,16.96666667
229,21.65
230,21.48333333
231,28.11666667
232,23.16666667
233,22.12
234,26.7
235,19.66666667
236,20.78333333
237,23.36666667
238,21.0
239,22.65
240,13.23333333
241,25.7
242,20.08333333
243,21.4
244,13.85
245,23.88333333
246,20.2
247,18.74
248,21.38333333
249,20.11666667
250,19.78333333
251,18.75
252,23.38333333
253,21.05
254,20.11666667
255,17.88333333
256,21.16666667
257,17.83333333
258,16.28333333
259,21.08333333
260,21.81666667
261,18.88333333
262,20.65
263,14.93333333
264,20.83333333
265,18.51666667
266,24.81666667
267,16.91666667
268,19.51666667
269,12.68333333
270,24.15
271,13.28333333
272,19.85
273,19.66666667
274,21.35
275,16.08333333
276,20.08333333
277,20.73333333
278,19.03333333
279,23.2
280,17.45
281,20.81666667
282,14.14
283,21.9
284,17.5
285,13.11666667
286,18.3
287,18.78333333
288,21.63333333
289,20.26666667
290,18.76666667
291,13.73333333
292,18.66666667
293,18.76666667
294,18.86666667
295,20.75
491,19.0
492,20.0
493,12.0
494,19.0
495,20.0
496,21.0
497,13.0
498,20.0
499,20.0
500,20.0
501,19.0
502,36.0
503,14.0
504,20.0
505,19.0
506,19.0
507,23.0
508,24.0
509,22.0
510,20.0
511,12.0
512,33.0
513,12.0
514,12.0
515,30.0
516,12.0
517,13.0
518,16.0
519,16.0
520,17.0
521,19.0
522,15.0
523,12.0
524,20.0
525,13.0
526,15.0
527,13.0
528,15.0
529,13.0
530,12.0
531,15.0
532,37.0
533,23.0
534,30.0
535,50.0
536,45.0
537,17.0
538,19.0
539,13.0
540,17.0
541,31.0
542,24.0
543,19.0
544,15.0
545,19.0
546,17.0
547,17.0
548,29.0
549,33.0
550,41.0
551,38.0
552,39.0
553,32.0
554,36.0
555,29.0
556,33.0
557,37.0
558,37.0
559,29.0
560,33.0
561,34.0
562,25.0
563,31.0
564,31.0
565,33.0
566,37.0
567,35.0
568,29.0
569,29.0
570,44.0
571,52.0
572,57.0
573,48.0
574,61.0
575,49.0
576,26.0
577,33.0
578,35.0
579,33.0
580,38.0
581,20.0
582,26.0
583,23.0
584,21.0
585,15.0
586,22.0
778,22.0
779,36.0
780,18.0
781,24.0
782,21.0
783,19.0
784,31.0
785,22.0
786,24.0
787,29.0
788,23.0
789,21.0
790,30.0
791,23.0
792,24.0
793,26.0
794,26.0
795,26.0
796,27.0
797,26.0
798,31.0
799,25.0
800,24.0
801,25.0
802,25.0
803,29.0
804,30.0
805,25.0
806,30.0
807,31.0
808,30.0
809,28.0
810,30.0
811,28.0
812,31.0
813,30.0
814,30.0
815,26.0
816,23.0
817,27.0
818,27.0
819,25.0
820,28.0
821,26.0
822,25.0
823,20.0
824,22.0
825,21.0
826,20.0
827,23.0
828,25.0
829,23.0
830,23.0
831,19.0
832,18.0
833,22.0
834,18.0
835,26.0
836,20.0
837,22.0
838,51.0
839,20.0
840,17.0
841,19.0
842,17.0
843,21.0
844,18.0
845,18.0
846,18.0
847,18.0
848,20.0
849,18.0
850,17.0
852,17.0
851,17.0
853,16.0
854,16.0
855,18.0
856,18.0
857,18.0
858,14.0
859,17.0
860,17.0
861,18.0
862,21.0
863,18.0
864,13.0
865,17.0
866,15.0
867,18.0
868,17.0
869,15.0
870,18.0
1071,17.0
1072,16.0
1073,17.0
1074,17.0
1075,17.0
1076,18.0
1077,18.0
1078,22.0
1079,16.0
1080,19.0
1081,18.0
1082,18.0
1083,18.0
1084,17.0
1085,23.0
1086,18.0
1087,20.0
1088,19.0
1089,20.0
1090,18.0
1091,21.0
1092,15.0
1093,17.0
1094,18.0
1095,18.0
1096,19.0
1097,22.0
1098,19.0
1099,17.0
1100,20.0
1101,17.0
1102,19.0
1103,19.0
1104,20.0
1105,20.0
1106,14.0
1107,19.0
1108,18.0
1109,18.0
1110,19.0
1111,21.0
1112,16.0
1113,19.0
1114,17.0
1115,17.0
1116,17.0
1117,18.0
1118,16.0
1119,14.0
1120,18.0
1121,17.0
1122,17.0
1123,19.0
1124,16.0
1125,18.0
1126,18.0
1127,21.0
1128,18.0
1129,21.0
1130,16.0
1131,20.0
1132,18.0
1133,17.0
1134,19.0
1135,20.0
1136,19.0
1137,15.0
1138,17.0
1139,18.0
1140,18.0
1141,16.0
1142,19.0
1143,14.0
1144,16.0
1145,17.0
1146,19.0
1147,16.0
1148,17.0
1149,18.0
1150,14.0
1151,18.0
1152,16.0
1153,16.0
1154,16.0
1155,15.0
1156,13.0
1157,15.0
1158,18.0
1346,17.0
1347,16.0
1348,17.0
1349,18.0
1350,14.0
1351,18.0
1352,16.0
1353,15.0
1354,17.0
1355,17.0
1356,18.0
1357,16.0
1358,18.0
1359,17.0
1360,17.0
1361,13.0
1362,18.0
1363,17.0
1364,19.0
1365,15.0
1366,17.0
1367,16.0
1368,17.0
1369,13.0
1370,17.0
1371,19.0
1372,17.0
1373,15.0
1374,19.0
1375,17.0
1376,18.0
1377,17.0
1378,15.0
1379,16.0
1380,16.0
1381,15.0
1382,15.0
1383,19.0
1384,17.0
1385,15.0
1386,13.0
1387,16.0
1388,18.0
1389,19.0
1390,17.0
1391,14.0
1392,19.0
1393,16.0
1394,16.0
1395,16.0
1396,17.0
1397,19.0
1398,14.0
1399,16.0
1400,17.0
1401,15.0
1402,16.0
1403,17.0
1404,15.0
1405,14.0
1406,15.0
1407,15.0
1408,18.0
1409,17.0
1410,13.0
1411,16.0
1412,15.0
1413,15.0
1414,14.0
1415,13.0
1416,12.0
1417,17.0
1418,15.0
1419,16.0
1420,12.0
1421,15.0
1422,14.0
1423,18.0
1424,14.0
1425,13.0
1426,12.0
1427,13.0
1428,14.0
1429,15.0
1430,17.0
1431,14.0
1432,11.0
1433,13.0
1434,12.0
1435,14.0
1436,13.0
1437,16.0
1438,13.0
1439,11.0
1440,13.0
1441,11.0
1636,12.0
1659,15.0
1615,25.0
1616,14.0
1617,14.0
1618,13.0
1619,14.0
1612,13.0
1623,13.0
1624,15.0
1625,12.0
1626,12.0
1627,16.0
1652,17.0
1660,18.0
1631,16.0
1632,14.0
1633,13.0
1634,16.0
1635,13.0
1620,13.0
1628,13.0
1683,17.0
1639,16.0
1640,13.0
1641,16.0
1642,14.0
1643,13.0
1653,17.0
1669,14.0
1646,12.0
1647,14.0
1648,16.0
1649,12.0
1650,14.0
1651,14.0
1621,13.0
1629,16.0
1644,14.0
1684,18.0
1656,17.0
1657,16.0
1658,17.0
1613,14.0
1670,17.0
1677,14.0
1663,16.0
1664,14.0
1665,16.0
1666,15.0
1667,14.0
1668,18.0
1637,14.0
1645,17.0
1661,17.0
1672,15.0
1673,13.0
1674,15.0
1675,15.0
1676,13.0
1614,15.0
1678,14.0
1691,15.0
1638,16.0
1654,16.0
1662,14.0
1679,17.0
1680,17.0
1681,14.0
1682,16.0
1622,12.0
1630,14.0
1685,22.0
1692,16.0
1686,18.0
1687,17.0
1688,18.0
1689,17.0
1690,18.0
1655,20.0
1671,12.0
1693,16.0
1694,14.0
1695,13.0
1696,18.0
