Sampling Date,Location of Monitoring Station,SO2,NO2,RSPM/PM10
2010-12-27,"Govt. High School, Manali, Chennai.",10.65,17.4,102.3333333
2010-12-30,"Govt. High School, Manali, Chennai.",11.63333333,19.41666667,86.0
2011-01-03,"Govt. High School, Manali, Chennai.",11.0,20.0,75.0
2011-01-06,"Govt. High School, Manali, Chennai.",9.0,13.0,107.0
2011-01-10,"Govt. High School, Manali, Chennai.",12.0,20.0,117.0
2011-01-13,"Govt. High School, Manali, Chennai.",11.0,18.0,143.0
2011-01-20,"Govt. High School, Manali, Chennai.",12.0,18.0,92.0
2011-01-24,"Govt. High School, Manali, Chennai.",10.0,16.0,111.0
2011-01-27,"Govt. High School, Manali, Chennai.",13.0,23.0,153.0
2011-01-31,"Govt. High School, Manali, Chennai.",14.0,19.0,106.0
2011-02-03,"Govt. High School, Manali, Chennai.",13.0,22.0,126.0
2011-02-07,"Govt. High School, Manali, Chennai.",15.0,245.0,177.0
2011-02-10,"Govt. High School, Manali, Chennai.",12.0,22.0,134.0
2011-02-14,"Govt. High School, Manali, Chennai.",20.0,13.0,127.0
2011-02-17,"Govt. High School, Manali, Chennai.",12.0,20.0,109.0
2011-02-21,"Govt. High School, Manali, Chennai.",9.0,16.0,63.0
2011-02-24,"Govt. High School, Manali, Chennai.",33.0,21.0,82.0
2011-02-28,"Govt. High School, Manali, Chennai.",18.0,13.0,122.0
2011-03-03,"Govt. High School, Manali, Chennai.",15.0,27.0,130.0
2011-03-07,"Govt. High School, Manali, Chennai.",58.0,23.0,147.0
2011-03-10,"Govt. High School, Manali, Chennai.",16.0,27.0,101.0
2011-03-14,"Govt. High School, Manali, Chennai.",24.0,18.0,55.0
2011-03-17,"Govt. High School, Manali, Chennai.",17.0,29.0,87.0
2011-03-21,"Govt. High School, Manali, Chennai.",11.0,40.0,118.0
2011-03-24,"Govt. High School, Manali, Chennai.",9.0,30.0,134.0
2011-03-28,"Govt. High School, Manali, Chennai.",9.0,28.0,225.0
2011-03-31,"Govt. High School, Manali, Chennai.",12.0,19.0,166.0
2011-04-07,"Govt. High School, Manali, Chennai.",10.0,24.0,100.0
2011-04-11,"Govt. High School, Manali, Chennai.",14.0,12.0,62.0
2011-04-18,"Govt. High School, Manali, Chennai.",10.0,14.0,45.0
2011-04-21,"Govt. High School, Manali, Chennai.",12.0,25.0,43.0
2011-04-25,"Govt. High School, Manali, Chennai.",11.0,14.0,45.0
2011-04-28,"Govt. High School, Manali, Chennai.",11.0,15.0,45.0
2011-05-02,"Govt. High School, Manali, Chennai.",909.0,22.0,87.0
2011-05-05,"Govt. High School, Manali, Chennai.",20.0,24.0,108.0
2011-05-09,"Govt. High School, Manali, Chennai.",10.0,31.0,152.0
2011-05-12,"Govt. High School, Manali, Chennai.",10.0,28.0,84.0
2011-05-16,"Govt. High School, Manali, Chennai.",10.0,22.0,66.0
2011-05-19,"Govt. High School, Manali, Chennai.",10.0,12.0,78.0
2011-05-23,"Govt. High School, Manali, Chennai.",11.0,12.0,77.0
2011-05-26,"Govt. High School, Manali, Chennai.",13.0,14.0,69.0
2011-05-30,"Govt. High School, Manali, Chennai.",11.0,15.0,70.0
2011-06-02,"Govt. High School, Manali, Chennai.",9.0,13.0,54.0
2011-06-06,"Govt. High School, Manali, Chennai.",9.0,13.0,45.0
2011-06-09,"Govt. High School, Manali, Chennai.",9.0,17.0,62.0
2011-06-13,"Govt. High School, Manali, Chennai.",12.0,13.0,71.0
2011-06-16,"Govt. High School, Manali, Chennai.",10.0,16.0,81.0
2011-06-20,"Govt. High School, Manali, Chennai.",12.0,16.0,79.0
2011-06-23,"Govt. High School, Manali, Chennai.",11.0,15.0,76.0
2011-06-27,"Govt. High School, Manali, Chennai.",10.0,13.0,63.0
2011-06-30,"Govt. High School, Manali, Chennai.",27.0,19.0,126.0
2011-07-04,"Govt. High School, Manali, Chennai.",10.0,15.0,45.0
2011-07-07,"Govt. High School, Manali, Chennai.",9.0,14.0,41.0
2011-07-11,"Govt. High School, Manali, Chennai.",12.0,17.0,49.0
2011-07-14,"Govt. High School, Manali, Chennai.",10.0,13.0,24.0
2011-07-18,"Govt. High School, Manali, Chennai.",10.0,14.0,51.0
2011-07-21,"Govt. High School, Manali, Chennai.",12.0,21.0,41.0
2011-07-25,"Govt. High School, Manali, Chennai.",10.0,14.0,41.0
2011-07-28,"Govt. High School, Manali, Chennai.",10.0,13.0,50.0
2011-08-01,"Govt. High School, Manali, Chennai.",30.0,35.0,57.0
2011-08-04,"Govt. High School, Manali, Chennai.",32.0,38.0,38.0
2011-08-08,"Govt. High School, Manali, Chennai.",46.0,29.0,28.0
2011-08-11,"Govt. High School, Manali, Chennai.",43.0,33.0,29.0
2011-08-18,"Govt. High School, Manali, Chennai.",40.0,32.0,40.0
2011-08-22,"Govt. High School, Manali, Chennai.",39.0,31.0,42.0
2011-08-25,"Govt. High School, Manali, Chennai.",38.0,37.0,35.0
2011-08-29,"Govt. High School, Manali, Chennai.",35.0,41.0,47.0
2011-09-05,"Govt. High School, Manali, Chennai.",27.0,35.0,30.0
2011-09-08,"Govt. High School, Manali, Chennai.",29.0,25.0,26.0
2011-09-12,"Govt. High School, Manali, Chennai.",36.0,29.0,57.0
2011-09-15,"Govt. High School, Manali, Chennai.",31.0,27.0,45.0
2011-09-19,"Govt. High School, Manali, Chennai.",29.0,28.0,44.0
2011-09-22,"Govt. High School, Manali, Chennai.",33.0,28.0,50.0
2011-09-26,"Govt. High School, Manali, Chennai.",31.0,33.0,41.0
2011-09-29,"Govt. High School, Manali, Chennai.",34.0,32.0,57.0
2011-10-03,"Govt. High School, Manali, Chennai.",25.0,34.0,83.0
2011-10-10,"Govt. High School, Manali, Chennai.",24.0,29.0,143.0
2011-10-13,"Govt. High School, Manali, Chennai.",31.0,29.0,114.0
2011-10-20,"Govt. High School, Manali, Chennai.",27.0,29.0,107.0
2011-10-24,"Govt. High School, Manali, Chennai.",27.0,37.0,97.0
2011-10-27,"Govt. High School, Manali, Chennai.",31.0,30.0,101.0
2011-10-31,"Govt. High School, Manali, Chennai.",30.0,29.0,113.0
2011-11-03,"Govt. High School, Manali, Chennai.",37.0,68.0,33.0
2011-11-10,"Govt. High School, Manali, Chennai.",35.0,59.0,98.0
2011-11-14,"Govt. High School, Manali, Chennai.",34.0,46.0,52.0
2011-11-17,"Govt. High School, Manali, Chennai.",26.0,61.0,83.0
2011-11-21,"Govt. High School, Manali, Chennai.",24.0,52.0,116.0
2011-11-24,"Govt. High School, Manali, Chennai.",23.0,36.0,91.0
2011-11-28,"Govt. High School, Manali, Chennai.",16.0,23.0,76.0
2011-12-01,"Govt. High School, Manali, Chennai.",26.0,42.0,115.0
2011-12-05,"Govt. High School, Manali, Chennai.",29.0,37.0,132.0
2011-12-08,"Govt. High School, Manali, Chennai.",32.0,19.0,118.0
2011-12-12,"Govt. High School, Manali, Chennai.",31.0,23.0,107.0
2011-12-15,"Govt. High School, Manali, Chennai.",18.0,26.0,96.0
2011-12-19,"Govt. High School, Manali, Chennai.",9.0,16.0,117.0
2011-12-22,"Govt. High School, Manali, Chennai.",9.0,12.0,116.0
2011-12-26,"Govt. High School, Manali, Chennai.",8.0,11.0,151.0
2012-01-02,"Govt. High School, Manali, Chennai.",16.0,20.0,31.0
2012-01-05,"Govt. High School, Manali, Chennai.",16.0,22.0,62.0
2012-01-09,"Govt. High School, Manali, Chennai.",16.0,32.0,43.0
2012-01-12,"Govt. High School, Manali, Chennai.",17.0,24.0,45.0
2012-01-19,"Govt. High School, Manali, Chennai.",17.0,26.0,53.0
2012-01-23,"Govt. High School, Manali, Chennai.",19.0,20.0,60.0
2012-01-30,"Govt. High School, Manali, Chennai.",17.0,25.0,43.0
2012-02-02,"Govt. High School, Manali, Chennai.",16.0,36.0,59.0
2012-02-06,"Govt. High School, Manali, Chennai.",20.0,32.0,81.0
2012-02-09,"Govt. High School, Manali, Chennai.",24.0,36.0,57.0
2012-02-13,"Govt. High School, Manali, Chennai.",13.0,25.0,78.0
2012-02-16,"Govt. High School, Manali, Chennai.",12.0,22.0,67.0
2012-02-20,"Govt. High School, Manali, Chennai.",22.0,36.0,86.0
2012-02-27,"Govt. High School, Manali, Chennai.",19.0,20.0,96.0
2012-03-01,"Govt. High School, Manali, Chennai.",18.0,26.0,73.0
2012-03-05,"Govt. High School, Manali, Chennai.",15.0,25.0,50.0
2012-03-08,"Govt. High School, Manali, Chennai.",14.0,26.0,99.0
2012-03-12,"Govt. High School, Manali, Chennai.",15.0,24.0,58.0
2012-03-15,"Govt. High School, Manali, Chennai.",15.0,26.0,56.0
2012-03-19,"Govt. High School, Manali, Chennai.",14.0,29.0,68.0
2012-03-22,"Govt. High School, Manali, Chennai.",14.0,25.0,87.0
2012-03-26,"Govt. High School, Manali, Chennai.",13.0,25.0,82.0
2012-03-29,"Govt. High School, Manali, Chennai.",15.0,24.0,65.0
