,Sampling Date,Location of Monitoring Station,SO2,NO2,RSPM/PM10,SPM,PM 2.5
1688,5/6/2011,"Thiruvottiyur,  Chennai",9.0,12.0,70.0,,
1689,5/11/2011,"Thiruvottiyur,  Chennai",13.0,20.0,87.0,,
1690,13/05/2011,"Thiruvottiyur,  Chennai",9.0,13.0,69.0,,
1691,18/05/2011,"Thiruvottiyur,  Chennai",10.0,15.0,89.0,,
1692,20/05/2011,"Thiruvottiyur,  Chennai",9.0,13.0,54.0,,
1693,25/05/2011,"Thiruvottiyur,  Chennai",11.0,15.0,53.0,,
1694,27/05/2011,"Thiruvottiyur,  Chennai",9.0,13.0,76.0,,
1695,6/1/2011,"Thiruvottiyur,  Chennai",9.0,12.0,105.0,,
1696,6/3/2011,"Thiruvottiyur,  Chennai",9.0,15.0,58.0,,
1697,6/8/2011,"Thiruvottiyur,  Chennai",14.0,37.0,60.0,,
1698,6/10/2011,"Thiruvottiyur,  Chennai",18.0,23.0,67.0,,
1699,15/06/2011,"Thiruvottiyur,  Chennai",16.0,30.0,126.0,,
1700,17/06/2011,"Thiruvottiyur,  Chennai",9.0,50.0,101.0,,
1701,22/06/2011,"Thiruvottiyur,  Chennai",16.0,45.0,89.0,,
1702,24/06/2011,"Thiruvottiyur,  Chennai",12.0,17.0,66.0,,
1703,29/06/2011,"Thiruvottiyur,  Chennai",20.0,19.0,109.0,,
1704,7/1/2011,"Thiruvottiyur,  Chennai",11.0,13.0,120.0,,
1705,7/6/2011,"Thiruvottiyur,  Chennai",9.0,17.0,111.0,,
1706,7/8/2011,"Thiruvottiyur,  Chennai",14.0,31.0,75.0,,
1707,13/07/2011,"Thiruvottiyur,  Chennai",17.0,24.0,119.0,,
1708,15/07/2011,"Thiruvottiyur,  Chennai",12.0,19.0,102.0,,
1709,20/07/2011,"Thiruvottiyur,  Chennai",8.0,15.0,92.0,,
1710,22/07/2011,"Thiruvottiyur,  Chennai",17.0,19.0,105.0,,
1711,27/07/2011,"Thiruvottiyur,  Chennai",12.0,17.0,64.0,,
1712,29/07/2011,"Thiruvottiyur,  Chennai",17.0,17.0,65.0,,
1713,8/3/2011,"Thiruvottiyur,  Chennai",35.0,29.0,68.0,,
1714,8/5/2011,"Thiruvottiyur,  Chennai",37.0,33.0,51.0,,
1715,8/10/2011,"Thiruvottiyur,  Chennai",41.0,41.0,53.0,,
1716,8/12/2011,"Thiruvottiyur,  Chennai",41.0,38.0,63.0,,
1717,19/08/2011,"Thiruvottiyur,  Chennai",35.0,39.0,31.0,,
1718,24/08/2011,"Thiruvottiyur,  Chennai",42.0,32.0,52.0,,
1719,26/08/2011,"Thiruvottiyur,  Chennai",36.0,36.0,27.0,,
1720,9/2/2011,"Thiruvottiyur,  Chennai",14.0,29.0,61.0,,
1721,9/7/2011,"Thiruvottiyur,  Chennai",31.0,33.0,62.0,,
1722,9/9/2011,"Thiruvottiyur,  Chennai",30.0,37.0,53.0,,
1723,14/09/2011,"Thiruvottiyur,  Chennai",34.0,37.0,36.0,,
1724,16/09/2011,"Thiruvottiyur,  Chennai",35.0,29.0,53.0,,
1725,21/09/2011,"Thiruvottiyur,  Chennai",32.0,33.0,102.0,,
